# Datetime, equity ($), cash flow ($)
2023-11-01 15:25:21.429267,1015.76,0
2023-11-01 15:30:19.452078,1014.96,0
2023-11-01 15:35:16.467911,1008.11,0
2023-11-01 15:40:37.059950,1003.22,0
2023-11-01 15:45:14.412537,1006.62,0
2023-11-01 15:50:23.420716,1003.02,0
2023-11-01 15:56:12.012990,997.33,0
2023-11-01 16:00:19.516054,1001.08,0
2023-11-01 16:05:12.448080,1005.11,0
2023-11-01 16:10:19.345467,1002.82,0
2023-11-01 16:15:44.808921,1001.41,0
2023-11-01 16:20:12.094796,1000.71,0
2023-11-01 16:25:19.780322,1001.23,0
2023-11-01 16:31:08.177301,1001.18,0
2023-11-01 16:35:48.435121,1003.8,0
2023-11-01 16:40:27.949393,1005.64,0
2023-11-01 16:45:21.053139,1010.32,0
2023-11-01 16:50:13.614910,1010.43,0
2023-11-01 16:55:33.481302,1011.33,0
2023-11-01 17:00:10.342250,1010.95,0
2023-11-01 17:05:23.842716,1006.25,0
2023-11-01 17:11:00.305399,1010.48,0
2023-11-01 17:15:35.135204,1009.47,0
2023-11-01 17:20:28.223404,1014.1,0
2023-11-01 17:25:20.390705,1013.4,0
2023-11-01 17:30:12.454720,1013.92,0
2023-11-01 17:35:30.467239,1013.6,0
2023-11-01 17:40:30.955006,1009.92,0
2023-11-01 17:45:30.176917,1010.5,0
2023-11-01 17:50:28.831883,1011.1,0
2023-11-01 17:55:10.599325,1012.59,0
2023-11-01 18:00:22.419755,1014.71,0
2023-11-01 18:07:43.130674,1015.51,0
2023-11-01 18:10:48.792995,1014.58,0
2023-11-01 18:15:20.378455,1016.11,0
2023-11-01 18:20:11.532653,1014.51,0
2023-11-01 18:25:29.052963,1011.66,0
2023-11-01 18:30:21.889320,1012.41,0
2023-11-01 18:35:46.405071,1008.97,0
2023-11-01 18:41:13.235929,1010.68,0
2023-11-01 18:45:46.898465,1013.2,0
2023-11-01 18:50:24.331182,1013.33,0
2023-11-01 18:55:48.937870,1014.27,0
2023-11-01 19:00:15.381282,1015.94,0
2023-11-01 19:05:11.707282,1014.18,0
2023-11-01 19:10:33.666538,1011.9,0
2023-11-01 19:15:09.287735,1010.65,0
2023-11-01 19:20:20.683750,1012.44,0
2023-11-01 19:25:34.114071,1012.36,0
2023-11-01 19:30:10.023167,1013.67,0
2023-11-01 19:36:11.136289,1019.81,0
2023-11-01 19:40:16.912127,1017.78,0
2023-11-01 19:45:09.043571,1013.95,0
2023-11-01 19:50:22.050843,1012.69,0
2023-11-01 19:55:21.513073,1017.92,0
2023-11-01 20:00:14.599998,1024.22,0
2023-11-01 20:05:24.186893,1028.1,0
2023-11-01 20:10:27.115533,1028.2,0
2023-11-01 20:15:19.253461,1025.99,0
2023-11-01 20:20:21.336414,1025.03,0
2023-11-01 20:25:12.927995,1029.89,0
2023-11-01 20:30:24.049601,1028.25,0
2023-11-01 20:35:25.645493,1031.07,0
